Date,Park_Name,Is_Weekend,Is_Holiday,Ticket_Price,Base_Visitors,Max_Temp,Avg_Temp,Rainfall,Adjusted_Visitors,Adjusted_Revenue,rowid
1/13/18,Hollywood Studios,1,0,102,37095,63,60,0.0,33386,3405321,74
1/13/18,Animal Kingdom,1,0,102,37845,63,60,0.0,34061,3474171,75
1/13/18,Epcot,1,0,102,44665,63,60,0.0,40199,4100247,76
1/13/18,Universal Studios,1,0,115,53214,63,60,0.0,47893,5507649,77
1/13/18,Islands of Adventure,1,0,115,42453,63,60,0.0,38208,4393886,78
1/14/18,Magic Kingdom,1,0,109,87007,61,49,0.0,74391,8108617,79
1/14/18,Hollywood Studios,1,0,102,39475,61,49,0.0,33751,3442615,80
1/14/18,Animal Kingdom,1,0,102,38392,61,49,0.0,32825,3348166,81
1/14/18,Epcot,1,0,102,39298,61,49,0.0,33600,3427179,82
1/14/18,Universal Studios,1,0,115,48090,61,49,0.0,41117,4728449,83
1/14/18,Islands of Adventure,1,0,115,39226,61,49,0.0,33538,3856896,84
1/15/18,Magic Kingdom,0,1,129,89738,66,52,0.0,76726,9897653,85
1/15/18,Hollywood Studios,0,1,122,44448,66,52,0.0,38003,4636371,86
1/15/18,Animal Kingdom,0,1,122,37390,66,52,0.0,31968,3900151,87
1/15/18,Epcot,0,1,122,40049,66,52,0.0,34242,4177511,88
1/15/18,Universal Studios,0,1,124,46682,66,52,0.0,39913,4949226,89
1/15/18,Islands of Adventure,0,1,124,44807,66,52,0.0,38310,4750438,90
1/16/18,Magic Kingdom,0,0,109,61008,73,55,0.0,54907,5984885,91
1/16/18,Hollywood Studios,0,0,102,30061,73,55,0.0,27055,2759600,92
1/16/18,Animal Kingdom,0,0,102,25741,73,55,0.0,23167,2363024,93
1/16/18,Epcot,0,0,102,29795,73,55,0.0,26816,2735181,94
1/16/18,Universal Studios,0,0,115,38048,73,55,0.0,34243,3937968,95
1/16/18,Islands of Adventure,0,0,115,28487,73,55,0.0,25638,2948405,96
1/17/18,Magic Kingdom,0,0,109,63091,71,57,0.0,56782,6189227,97
1/17/18,Hollywood Studios,0,0,102,32173,71,57,0.0,28956,2953481,98
1/17/18,Animal Kingdom,0,0,102,29545,71,57,0.0,26591,2712231,99
1/17/18,Epcot,0,0,102,26152,71,57,0.0,23537,2400754,100
1/17/18,Universal Studios,0,0,115,44325,71,57,0.0,39893,4587638,101
1/17/18,Islands of Adventure,0,0,115,29533,71,57,0.0,26580,3056666,102
1/18/18,Magic Kingdom,0,0,109,61082,53,41,0.0,52225,5692537,103
1/18/18,Hollywood Studios,0,0,102,36736,53,41,0.0,31409,3203747,104
1/18/18,Animal Kingdom,0,0,102,34800,53,41,0.0,29754,3034908,105
1/18/18,Epcot,0,0,102,28649,53,41,0.0,24495,2498479,106
1/18/18,Universal Studios,0,0,115,42675,53,41,0.0,36487,4196019,107
1/18/18,Islands of Adventure,0,0,115,27300,53,41,0.0,23342,2684273,108
1/19/18,Magic Kingdom,0,0,109,64242,66,47,0.0,54927,5987033,109
1/19/18,Hollywood Studios,0,0,102,38711,66,47,0.0,33098,3375986,110
1/19/18,Animal Kingdom,0,0,102,30163,66,47,0.0,25789,2630515,111
1/19/18,Epcot,0,0,102,26586,66,47,0.0,22731,2318565,112
1/19/18,Universal Studios,0,0,115,37600,66,47,0.0,32148,3697020,113
1/19/18,Islands of Adventure,0,0,115,26205,66,47,0.0,22405,2576607,114
1/20/18,Magic Kingdom,1,0,109,87849,71,56,0.0,79064,8617987,115
1/20/18,Hollywood Studios,1,0,102,38483,71,56,0.0,34635,3532739,116
1/20/18,Animal Kingdom,1,0,102,33303,71,56,0.0,29973,3057215,117
1/20/18,Epcot,1,0,102,36933,71,56,0.0,33240,3390449,118
1/20/18,Universal Studios,1,0,115,51284,71,56,0.0,46156,5307894,119
1/20/18,Islands of Adventure,1,0,115,42094,71,56,0.0,37885,4356729,120
1/21/18,Magic Kingdom,1,0,109,88416,78,63,0.0,79574,8673610,121
1/21/18,Hollywood Studios,1,0,102,35689,78,63,0.0,32120,3276250,122
1/21/18,Animal Kingdom,1,0,102,34094,78,63,0.0,30685,3129829,123
1/21/18,Epcot,1,0,102,36951,78,63,0.0,33256,3392102,124
1/21/18,Universal Studios,1,0,115,54205,78,63,0.0,48785,5610218,125
1/21/18,Islands of Adventure,1,0,115,35439,78,63,0.0,31895,3667937,126
1/22/18,Magic Kingdom,0,0,109,64551,81,67,0.0,58096,6332453,127
1/22/18,Hollywood Studios,0,0,102,32034,81,67,0.0,28831,2940721,128
1/22/18,Animal Kingdom,0,0,102,33961,81,67,0.0,30565,3117620,129
1/22/18,Epcot,0,0,102,25296,81,67,0.0,22766,2322173,130
1/22/18,Universal Studios,0,0,115,43701,81,67,0.0,39331,4523054,131
1/22/18,Islands of Adventure,0,0,115,26081,81,67,0.0,23473,2699384,132
1/23/18,Magic Kingdom,0,0,109,62907,83,71,0.04,50955,5554059,133
1/23/18,Hollywood Studios,0,0,102,33179,83,71,0.04,26875,2741249,134
1/23/18,Animal Kingdom,0,0,102,34056,83,71,0.04,27585,2813707,135
1/23/18,Epcot,0,0,102,26224,83,71,0.04,21241,2166627,136
1/23/18,Universal Studios,0,0,115,35882,83,71,0.04,29064,3342408,137
1/23/18,Islands of Adventure,0,0,115,31759,83,71,0.04,25725,2958351,138
1/24/18,Magic Kingdom,0,0,109,63082,71,62,0.0,56774,6188344,139
1/24/18,Hollywood Studios,0,0,102,39234,71,62,0.0,35311,3601681,140
1/24/18,Animal Kingdom,0,0,102,33423,71,62,0.0,30081,3068231,141
1/24/18,Epcot,0,0,102,26462,71,62,0.0,23816,2429212,142
1/24/18,Universal Studios,0,0,115,42862,71,62,0.0,38576,4436217,143
1/24/18,Islands of Adventure,0,0,115,39060,71,62,0.0,35154,4042710,144
1/25/18,Magic Kingdom,0,0,109,60861,70,58,0.0,54775,5970464,145
1/25/18,Hollywood Studios,0,0,102,38049,70,58,0.0,34244,3492898,146
1/25/18,Animal Kingdom,0,0,102,25920,70,58,0.0,23328,2379456,147
1/25/18,Epcot,0,0,102,25528,70,58,0.0,22975,2343470,148
1/25/18,Universal Studios,0,0,115,44852,70,58,0.0,40367,4642182,149
1/25/18,Islands of Adventure,0,0,115,25652,70,58,0.0,23087,2654982,150
1/26/18,Magic Kingdom,0,0,109,63368,75,60,0.0,57031,6216401,151
1/26/18,Hollywood Studios,0,0,102,35533,75,60,0.0,31980,3261929,152
1/26/18,Animal Kingdom,0,0,102,34423,75,60,0.0,30981,3160031,153
1/26/18,Epcot,0,0,102,28017,75,60,0.0,25215,2571961,154
1/26/18,Universal Studios,0,0,115,43164,75,60,0.0,38848,4467474,155
1/26/18,Islands of Adventure,0,0,115,29300,75,60,0.0,26370,3032550,156
1/27/18,Magic Kingdom,1,0,109,80138,77,67,0.0,72124,7861538,157
1/27/18,Hollywood Studios,1,0,102,42979,77,67,0.0,38681,3945472,158
1/27/18,Animal Kingdom,1,0,102,30435,77,67,0.0,27392,2793933,159
1/27/18,Epcot,1,0,102,39409,77,67,0.0,35468,3617746,160
1/27/18,Universal Studios,1,0,115,43898,77,67,0.0,39508,4543443,161
1/27/18,Islands of Adventure,1,0,115,40200,77,67,0.0,36180,4160700,162
1/28/18,Magic Kingdom,1,0,109,85511,80,68,0.34,69264,7549766,163
1/28/18,Hollywood Studios,1,0,102,43696,80,68,0.34,35394,3610164,164
1/28/18,Animal Kingdom,1,0,102,32099,80,68,0.34,26000,2652019,165
1/28/18,Epcot,1,0,102,39917,80,68,0.34,32333,3297943,166
1/28/18,Universal Studios,1,0,115,42123,80,68,0.34,34120,3923757,167
1/28/18,Islands of Adventure,1,0,115,37977,80,68,0.34,30761,3537558,168
1/29/18,Magic Kingdom,0,0,109,64384,74,69,0.43,52151,5684463,169
1/29/18,Hollywood Studios,0,0,102,35721,74,69,0.43,28934,2951269,170
1/29/18,Animal Kingdom,0,0,102,31720,74,69,0.43,25693,2620706,171
1/29/18,Epcot,0,0,102,29326,74,69,0.43,23754,2422914,172
1/29/18,Universal Studios,0,0,115,38211,74,69,0.43,30951,3559355,173
1/29/18,Islands of Adventure,0,0,115,32686,74,69,0.43,26476,3044701,174
1/30/18,Magic Kingdom,0,0,109,63573,64,56,0.0,57216,6236511,175
1/30/18,Hollywood Studios,0,0,102,35050,64,56,0.0,31545,3217590,176
1/30/18,Animal Kingdom,0,0,102,31204,64,56,0.0,28084,2864527,177
1/30/18,Epcot,0,0,102,29610,64,56,0.0,26649,2718198,178
1/30/18,Universal Studios,0,0,115,41198,64,56,0.0,37078,4263993,179
1/30/18,Islands of Adventure,0,0,115,28413,64,56,0.0,25572,2940746,180
1/31/18,Magic Kingdom,0,0,109,64761,70,53,0.0,55371,6035401,181
1/31/18,Hollywood Studios,0,0,102,35462,70,53,0.0,30320,3092641,182
1/31/18,Animal Kingdom,0,0,102,28540,70,53,0.0,24402,2488973,183
1/31/18,Epcot,0,0,102,28038,70,53,0.0,23972,2445194,184
1/31/18,Universal Studios,0,0,115,37391,70,53,0.0,31969,3676470,185
1/31/18,Islands of Adventure,0,0,115,27867,70,53,0.0,23826,2740023,186
2/1/18,Magic Kingdom,0,0,109,60390,75,60,0.0,54351,5924259,187
2/1/18,Hollywood Studios,0,0,102,39237,75,60,0.0,35313,3601957,188
2/1/18,Animal Kingdom,0,0,102,30848,75,60,0.0,27763,2831846,189
2/1/18,Epcot,0,0,102,29539,75,60,0.0,26585,2711680,190
2/1/18,Universal Studios,0,0,115,42823,75,60,0.0,38541,4432181,191
2/1/18,Islands of Adventure,0,0,115,33551,75,60,0.0,30196,3472529,192
2/2/18,Magic Kingdom,0,0,109,62795,76,64,0.0,56516,6160190,193
2/2/18,Hollywood Studios,0,0,102,36162,76,64,0.0,32546,3319672,194
2/2/18,Animal Kingdom,0,0,102,32615,76,64,0.0,29354,2994057,195
2/2/18,Epcot,0,0,102,25463,76,64,0.0,22917,2337503,196
2/2/18,Universal Studios,0,0,115,40793,76,64,0.0,36714,4222076,197
2/2/18,Islands of Adventure,0,0,115,30199,76,64,0.0,27179,3125597,198
2/3/18,Magic Kingdom,1,0,109,82667,69,61,0.0,74400,8109633,199
2/3/18,Hollywood Studios,1,0,102,39280,69,61,0.0,35352,3605904,200
2/3/18,Animal Kingdom,1,0,102,36221,69,61,0.0,32599,3325088,201
2/3/18,Epcot,1,0,102,39237,69,61,0.0,35313,3601957,202
2/3/18,Universal Studios,1,0,115,52682,69,61,0.0,47414,5452587,203
2/3/18,Islands of Adventure,1,0,115,40722,69,61,0.0,36650,4214727,204
2/4/18,Magic Kingdom,1,0,109,77831,77,66,0.35,63043,6871699,205
2/4/18,Hollywood Studios,1,0,102,35151,77,66,0.35,28472,2904176,206
2/4/18,Animal Kingdom,1,0,102,38670,77,66,0.35,31323,3194915,207
2/4/18,Epcot,1,0,102,40417,77,66,0.35,32738,3339253,208
2/4/18,Universal Studios,1,0,115,45186,77,66,0.35,36601,4209076,209
2/4/18,Islands of Adventure,1,0,115,38003,77,66,0.35,30782,3539979,210
2/5/18,Magic Kingdom,0,0,109,60958,76,68,0.0,54862,5979980,211
2/5/18,Hollywood Studios,0,0,102,33127,76,68,0.0,29814,3041059,212
2/5/18,Animal Kingdom,0,0,102,33873,76,68,0.0,30486,3109541,213
2/5/18,Epcot,0,0,102,29214,76,68,0.0,26293,2681845,214
2/5/18,Universal Studios,0,0,115,42368,76,68,0.0,38131,4385088,215
2/5/18,Islands of Adventure,0,0,115,37480,76,68,0.0,33732,3879180,216
2/6/18,Magic Kingdom,0,0,109,62692,83,64,0.0,56423,6150085,217
2/6/18,Hollywood Studios,0,0,102,32247,83,64,0.0,29022,2960275,218
2/6/18,Animal Kingdom,0,0,102,30018,83,64,0.0,27016,2755652,219
2/6/18,Epcot,0,0,102,29843,83,64,0.0,26859,2739587,220
2/6/18,Universal Studios,0,0,115,44411,83,64,0.0,39970,4596539,221
2/6/18,Islands of Adventure,0,0,115,27404,83,64,0.0,24664,2836314,222
2/7/18,Magic Kingdom,0,0,109,60087,82,70,0.0,54078,5894535,223
2/7/18,Hollywood Studios,0,0,102,33935,82,70,0.0,30542,3115233,224
2/7/18,Animal Kingdom,0,0,102,33218,82,70,0.0,29896,3049412,225
2/7/18,Epcot,0,0,102,26753,82,70,0.0,24078,2455925,226
2/7/18,Universal Studios,0,0,115,41892,82,70,0.0,37703,4335822,227
2/7/18,Islands of Adventure,0,0,115,35058,82,70,0.0,31552,3628503,228
2/8/18,Magic Kingdom,0,0,109,64653,82,71,0.0,58188,6342459,229
2/8/18,Hollywood Studios,0,0,102,36147,82,71,0.0,32532,3318295,230
2/8/18,Animal Kingdom,0,0,102,26417,82,71,0.0,23775,2425081,231
2/8/18,Epcot,0,0,102,29607,82,71,0.0,26646,2717923,232
2/8/18,Universal Studios,0,0,115,43747,82,71,0.0,39372,4527815,233
2/8/18,Islands of Adventure,0,0,115,33127,82,71,0.0,29814,3428645,234
2/9/18,Magic Kingdom,0,0,109,63658,83,69,0.0,57292,6244850,235
2/9/18,Hollywood Studios,0,0,102,37056,83,69,0.0,33350,3401741,236
2/9/18,Animal Kingdom,0,0,102,33127,83,69,0.0,29814,3041059,237
2/9/18,Epcot,0,0,102,25427,83,69,0.0,22884,2334199,238
2/9/18,Universal Studios,0,0,115,38788,83,69,0.0,34909,4014558,239
2/9/18,Islands of Adventure,0,0,115,37878,83,69,0.0,34090,3920373,240
2/10/18,Magic Kingdom,1,0,109,82172,86,72,0.0,73955,8061073,241
2/10/18,Hollywood Studios,1,0,102,41756,86,72,0.0,37580,3833201,242
2/10/18,Animal Kingdom,1,0,102,39290,86,72,0.0,35361,3606822,243
2/10/18,Epcot,1,0,102,36300,86,72,0.0,32670,3332340,244
2/10/18,Universal Studios,1,0,115,48738,86,72,0.0,43864,5044383,245
2/10/18,Islands of Adventure,1,0,115,43643,86,72,0.0,39279,4517051,246
2/11/18,Magic Kingdom,1,0,109,76549,87,74,0.0,68894,7509457,247
2/11/18,Hollywood Studios,1,0,102,40156,87,74,0.0,36140,3686321,248
2/11/18,Animal Kingdom,1,0,102,36647,87,74,0.0,32982,3364195,249
2/11/18,Epcot,1,0,102,43294,87,74,0.0,38965,3974389,250
2/11/18,Universal Studios,1,0,115,52472,87,74,0.0,47225,5430852,251
2/11/18,Islands of Adventure,1,0,115,35637,87,74,0.0,32073,3688430,252
2/12/18,Magic Kingdom,0,0,109,62329,86,76,0.0,56096,6114475,253
2/12/18,Hollywood Studios,0,0,102,37639,86,76,0.0,33875,3455260,254
2/12/18,Animal Kingdom,0,0,102,25227,86,76,0.0,22704,2315839,255
2/12/18,Epcot,0,0,102,28678,86,76,0.0,25810,2632640,256
2/12/18,Universal Studios,0,0,115,36458,86,76,0.0,32812,3773403,257
2/12/18,Islands of Adventure,0,0,115,39185,86,76,0.0,35267,4055648,258
2/13/18,Magic Kingdom,0,0,109,63822,84,75,0.01,51696,5634844,259
2/13/18,Hollywood Studios,0,0,102,34035,84,75,0.01,27568,2811972,260
2/13/18,Animal Kingdom,0,0,102,27011,84,75,0.01,21879,2231649,261
2/13/18,Epcot,0,0,102,25266,84,75,0.01,20465,2087477,262
2/13/18,Universal Studios,0,0,115,39384,84,75,0.01,31901,3668620,263
2/13/18,Islands of Adventure,0,0,115,37868,84,75,0.01,30673,3527404,264
2/14/18,Magic Kingdom,0,0,109,62196,78,69,0.0,55976,6101428,265
2/14/18,Hollywood Studios,0,0,102,31859,78,69,0.0,28673,2924656,266
2/14/18,Animal Kingdom,0,0,102,27257,78,69,0.0,24531,2502193,267
2/14/18,Epcot,0,0,102,27949,78,69,0.0,25154,2565718,268
2/14/18,Universal Studios,0,0,115,35629,78,69,0.0,32066,3687602,269
2/14/18,Islands of Adventure,0,0,115,39600,78,69,0.0,35640,4098600,270
2/15/18,Magic Kingdom,0,0,109,63132,83,68,0.0,56819,6193249,271
2/15/18,Hollywood Studios,0,0,102,30644,83,68,0.0,27580,2813119,272
2/15/18,Animal Kingdom,0,0,102,29472,83,68,0.0,26525,2705530,273
2/15/18,Epcot,0,0,102,26019,83,68,0.0,23417,2388544,274
2/15/18,Universal Studios,0,0,115,37290,83,68,0.0,33561,3859515,275
2/15/18,Islands of Adventure,0,0,115,39485,83,68,0.0,35537,4086698,276
2/16/18,Magic Kingdom,0,0,109,61961,85,72,0.0,55765,6078374,277
2/16/18,Hollywood Studios,0,0,102,37177,85,72,0.0,33459,3412849,278
2/16/18,Animal Kingdom,0,0,102,27184,85,72,0.0,24466,2495491,279
2/16/18,Epcot,0,0,102,26830,85,72,0.0,24147,2462994,280
2/16/18,Universal Studios,0,0,115,43087,85,72,0.0,38778,4459505,281
2/16/18,Islands of Adventure,0,0,115,27627,85,72,0.0,24864,2859395,282
2/17/18,Magic Kingdom,1,0,109,83829,84,71,0.0,75446,8223625,283
2/17/18,Hollywood Studios,1,0,102,40532,84,71,0.0,36479,3720838,284
2/17/18,Animal Kingdom,1,0,102,36135,84,71,0.0,32522,3317193,285
2/17/18,Epcot,1,0,102,40988,84,71,0.0,36889,3762698,286
2/17/18,Universal Studios,1,0,115,47037,84,71,0.0,42333,4868330,287
2/17/18,Islands of Adventure,1,0,115,38249,84,71,0.0,34424,3958772,288
2/18/18,Magic Kingdom,1,0,109,78668,86,71,0.0,70801,7717331,289
2/18/18,Hollywood Studios,1,0,102,38790,86,71,0.0,34911,3560922,290
2/18/18,Animal Kingdom,1,0,102,35256,86,71,0.0,31730,3236501,291
2/18/18,Epcot,1,0,102,44442,86,71,0.0,39998,4079776,292
2/18/18,Universal Studios,1,0,115,44447,86,71,0.0,40002,4600265,293
2/18/18,Islands of Adventure,1,0,115,43563,86,71,0.0,39207,4508771,294
2/19/18,Magic Kingdom,0,1,129,75479,84,72,0.0,67931,8763112,295
2/19/18,Hollywood Studios,0,1,122,37787,84,72,0.0,34008,4149013,296
2/19/18,Animal Kingdom,0,1,122,37386,84,72,0.0,33647,4104983,297
2/19/18,Epcot,0,1,122,35314,84,72,0.0,31783,3877477,298
2/19/18,Universal Studios,0,1,124,50792,84,72,0.0,45713,5668387,299
2/19/18,Islands of Adventure,0,1,124,37663,84,72,0.0,33897,4203191,300
2/20/18,Magic Kingdom,0,0,109,60886,87,75,0.0,54797,5972917,301
2/20/18,Hollywood Studios,0,0,102,33248,87,75,0.0,29923,3052166,302
2/20/18,Animal Kingdom,0,0,102,28943,87,75,0.0,26049,2656967,303
2/20/18,Epcot,0,0,102,26702,87,75,0.0,24032,2451244,304
2/20/18,Universal Studios,0,0,115,40989,87,75,0.0,36890,4242362,305
2/20/18,Islands of Adventure,0,0,115,27600,87,75,0.0,24840,2856600,306
2/21/18,Magic Kingdom,0,0,109,64073,85,76,0.0,57666,6285561,307
2/21/18,Hollywood Studios,0,0,102,35946,85,76,0.0,32351,3299843,308
2/21/18,Animal Kingdom,0,0,102,27369,85,76,0.0,24632,2512474,309
2/21/18,Epcot,0,0,102,26981,85,76,0.0,24283,2476856,310
2/21/18,Universal Studios,0,0,115,41941,85,76,0.0,37747,4340894,311
2/21/18,Islands of Adventure,0,0,115,27839,85,76,0.0,25055,2881337,312
2/22/18,Magic Kingdom,0,0,109,60707,85,74,0.0,54636,5955357,313
2/22/18,Hollywood Studios,0,0,102,34974,85,74,0.0,31477,3210613,314
2/22/18,Animal Kingdom,0,0,102,27655,85,74,0.0,24890,2538729,315
2/22/18,Epcot,0,0,102,29556,85,74,0.0,26600,2713241,316
2/22/18,Universal Studios,0,0,115,37486,85,74,0.0,33737,3879801,317
2/22/18,Islands of Adventure,0,0,115,37649,85,74,0.0,33884,3896672,318
2/23/18,Magic Kingdom,0,0,109,60287,85,73,0.0,54258,5914155,319
2/23/18,Hollywood Studios,0,0,102,37726,85,73,0.0,33953,3463247,320
2/23/18,Animal Kingdom,0,0,102,26278,85,73,0.0,23650,2412320,321
2/23/18,Epcot,0,0,102,27815,85,73,0.0,25034,2553417,322
2/23/18,Universal Studios,0,0,115,44718,85,73,0.0,40246,4628313,323
2/23/18,Islands of Adventure,0,0,115,26458,85,73,0.0,23812,2738403,324
2/24/18,Magic Kingdom,1,0,109,88177,85,73,0.0,79359,8650164,325
2/24/18,Hollywood Studios,1,0,102,40442,85,73,0.0,36398,3712576,326
2/24/18,Animal Kingdom,1,0,102,34830,85,73,0.0,31347,3197394,327
2/24/18,Epcot,1,0,102,37563,85,73,0.0,33807,3448283,328
2/24/18,Universal Studios,1,0,115,40638,85,73,0.0,36574,4206033,329
2/24/18,Islands of Adventure,1,0,115,36068,85,73,0.0,32461,3733038,330
2/25/18,Magic Kingdom,1,0,109,79002,87,73,0.0,71102,7750096,331
2/25/18,Hollywood Studios,1,0,102,36015,87,73,0.0,32414,3306177,332
2/25/18,Animal Kingdom,1,0,102,38733,87,73,0.0,34860,3555689,333
2/25/18,Epcot,1,0,102,40349,87,73,0.0,36314,3704038,334
2/25/18,Universal Studios,1,0,115,54224,87,73,0.0,48802,5612184,335
2/25/18,Islands of Adventure,1,0,115,35265,87,73,0.0,31739,3649928,336
2/26/18,Magic Kingdom,0,0,109,63598,88,76,0.0,57238,6238964,337
2/26/18,Hollywood Studios,0,0,102,39470,88,76,0.0,35523,3623346,338
2/26/18,Animal Kingdom,0,0,102,31460,88,76,0.0,28314,2888028,339
2/26/18,Epcot,0,0,102,25040,88,76,0.0,22536,2298672,340
2/26/18,Universal Studios,0,0,115,38346,88,76,0.0,34511,3968811,341
2/26/18,Islands of Adventure,0,0,115,36108,88,76,0.0,32497,3737178,342
2/27/18,Magic Kingdom,0,0,109,60694,84,75,0.0,54625,5954081,343
2/27/18,Hollywood Studios,0,0,102,38882,84,75,0.0,34994,3569368,344
2/27/18,Animal Kingdom,0,0,102,28227,84,75,0.0,25404,2591239,345
